Make,Type,Year,Origin,Color,Options,Engine_Size,Fuel_Type,Gear_Type,Condition,Mileage,Region,Price,Negotiable
Chrysler,C300,2018,Saudi,Black,Full,5.7,Gas,Automatic,Used,103000,Riyadh,114000,FALSE
Nissan,Patrol,2016,Saudi,White,Full,4.8,Gas,Automatic,Used,5448,Riyadh,Negotiable,TRUE
Nissan,Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,Used,72418,Riyadh,27500,FALSE
Hyundai,Elantra,2019,Saudi,Grey,Standard,1.6,Gas,Automatic,Used,114154,Riyadh,43000,FALSE
Hyundai,Elantra,2019,Saudi,Silver,Semi Full,2,Gas,Automatic,Used,41912,Riyadh,59500,FALSE
Honda,Accord,2018,Saudi,Navy,Full,1.5,Gas,Automatic,Used,39000,Riyadh,72000,FALSE
Toyota,Land Cruiser,2011,Saudi,White,Semi Full,4.5,Gas,Automatic,Used,183000,Riyadh,92000,FALSE
GMC,Yukon,2009,Saudi,Bronze,Full,5.7,Gas,Automatic,Used,323000,Riyadh,Negotiable,TRUE
Chevrolet,Impala,2019,Saudi,Black,Standard,3.6,Gas,Automatic,Used,70000,Riyadh,80000,FALSE
Toyota,Yaris,2018,Saudi,White,Standard,1.5,Gas,Automatic,Used,131000,Jeddah,32000,FALSE
Toyota,Camry,2017,Gulf Arabic,White,Standard,2.5,Gas,Automatic,Used,107000,Dammam,50000,FALSE
Nissan,Patrol,2014,Saudi,White,Full,5.6,Gas,Automatic,Used,106000,Dammam,135000,FALSE
Chevrolet,Tahoe,2018,Other,Grey,Semi Full,5.3,Gas,Automatic,Used,176140,Riyadh,153000,FALSE
Mercedes,CLA,2020,Other,White,Standard,,Gas,Automatic,Used,20000,Riyadh,235000,FALSE
Mercedes,E,2017,Saudi,Grey,Full,2,Gas,Automatic,Used,20600,Dammam,210000,FALSE
Hyundai,Accent,2019,Saudi,White,Standard,1.4,Gas,Automatic,Used,83000,Jeddah,37000,FALSE
Toyota,Corolla,2018,Saudi,White,Standard,1.6,Gas,Automatic,Used,7702,Dammam,45000,FALSE
MINI,Copper,2016,Gulf Arabic,Grey,Full,2,Gas,Automatic,Used,110000,Dammam,83000,FALSE
Nissan,Sunny,2017,Saudi,White,Standard,1.5,Gas,Automatic,Used,58000,Al-Medina,24500,FALSE
GMC,Yukon,2018,Saudi,White,Full,5.3,Gas,Automatic,Used,37000,Riyadh,Negotiable,TRUE
Nissan,Patrol,2016,Saudi,White,Standard,4.8,Gas,Automatic,Used,93000,Jeddah,83000,FALSE
Toyota,Prado,2021,Saudi,White,Semi Full,4,Gas,Automatic,Used,3000,Dammam,174000,FALSE
Hyundai,Elantra,2018,Other,White,Standard,1.6,Diesel,Automatic,Used,83000,Riyadh,50000,FALSE
Honda,Civic,2017,Saudi,Black,Standard,1.5,Gas,Automatic,Used,200000,Jeddah,38000,FALSE
Toyota,Furniture,2021,Saudi,White,Semi Full,2.4,Diesel,Automatic,Used,29000,Qassim,145000,FALSE
Lexus,RX,2019,Saudi,Bronze,Full,3.5,Gas,Automatic,Used,129000,Jeddah,178000,FALSE
Land Rover,Range Rover,2014,Saudi,Black,Full,3,Gas,Automatic,Used,80000,Makkah,230000,FALSE
Toyota,Camry,2019,Saudi,Red,Full,2.5,Gas,Automatic,Used,8000,Makkah,Negotiable,TRUE
GMC,Yukon,2017,Saudi,Silver,Standard,5.3,Gas,Automatic,Used,137317,Dammam,130000,FALSE
Toyota,Avalon,2008,Other,Red,Full,,Gas,Automatic,Used,169000,Riyadh,Negotiable,TRUE
Nissan,Bus Urvan,2020,Saudi,White,Standard,3.5,Gas,Manual,Used,27000,Riyadh,68000,FALSE
Toyota,Aurion,2015,Saudi,White,Semi Full,2.6,Gas,Automatic,Used,300,Jazan,50000,FALSE
Nissan,Sunny,2019,Saudi,White,Standard,1.5,Gas,Automatic,Used,112963,Riyadh,27500,FALSE
Hyundai,Elantra,2019,Saudi,Silver,Standard,1.6,Gas,Automatic,Used,108650,Riyadh,43000,FALSE
Chevrolet,Malibu,2013,Saudi,Black,Semi Full,3,Gas,Automatic,Used,122455,Riyadh,36000,FALSE
Nissan,Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,Used,93762,Riyadh,26800,FALSE
Toyota,Rav4,2020,Gulf Arabic,White,Full,2.5,Gas,Automatic,Used,15000,Dammam,111000,FALSE
Mazda,CX9,2019,Saudi,Another Color,Full,2.5,Gas,Automatic,Used,89000,Riyadh,99000,FALSE
Ford,Expedition,2013,Saudi,Black,Standard,5.4,Gas,Automatic,Used,348000,Riyadh,50000,FALSE
GMC,Yukon,2008,Saudi,Golden,Full,5.3,Gas,Automatic,Used,286000,Riyadh,48000,FALSE
Toyota,Camry,2020,Saudi,Silver,Standard,2.5,Hybrid,Automatic,Used,46000,Riyadh,75000,FALSE
Lexus,ES,2015,Saudi,White,Full,3.5,Gas,Automatic,Used,85000,Riyadh,80000,FALSE
Toyota,Land Cruiser,1993,Saudi,Bronze,Semi Full,,Gas,Manual,Used,400,Tabouk,12000,FALSE
Kia,Cadenza,2017,Saudi,Another Color,Standard,3.5,Gas,Automatic,Used,115000,Riyadh,55000,FALSE
Hyundai,Tucson,2016,Saudi,White,Semi Full,2,Gas,Automatic,Used,157000,Riyadh,50000,FALSE
Hyundai,Tucson,2019,Saudi,Silver,Semi Full,2,Gas,Automatic,Used,24000,Riyadh,68000,FALSE
Genesis,Platinum,2015,Saudi,Another Color,Semi Full,3.5,Gas,Automatic,Used,181000,Riyadh,70000,FALSE
Genesis,G80,2019,Saudi,White,Semi Full,3.8,Gas,Automatic,Used,84000,Riyadh,120000,FALSE
Toyota,Prado,2016,Saudi,White,Semi Full,4,Gas,Automatic,Used,201000,Riyadh,108000,FALSE
GMC,Yukon,2009,Saudi,Golden,Standard,5.3,Gas,Automatic,Used,395000,Riyadh,43000,FALSE
Toyota,Rav4,2016,Saudi,White,Full,2.5,Gas,Automatic,Used,363000,Riyadh,58000,FALSE
Hyundai,Accent,2020,Saudi,Another Color,Standard,1.4,Gas,Automatic,Used,2000,Riyadh,42000,FALSE
Lexus,ES,2013,Saudi,Black,Full,3.5,Gas,Automatic,Used,349000,Riyadh,70000,FALSE
Hyundai,Sonata,2019,Saudi,Grey,Semi Full,2.4,Gas,Automatic,Used,78000,Riyadh,62000,FALSE
Genesis,G80,2018,Saudi,Another Color,Semi Full,3.8,Gas,Automatic,Used,75000,Riyadh,110000,FALSE
Honda,Accord,2016,Saudi,Another Color,Full,3.5,Gas,Automatic,Used,350000,Riyadh,50000,FALSE
Genesis,G80,2018,Saudi,Another Color,Semi Full,3.8,Gas,Automatic,Used,127000,Riyadh,93000,FALSE
Lexus,LX,2015,Saudi,White,Full,5.7,Gas,Automatic,Used,247000,Riyadh,165000,FALSE
Nissan,Patrol,2012,Saudi,White,Semi Full,5.6,Gas,Automatic,Used,381000,Riyadh,75000,FALSE
GMC,Yukon,2008,Saudi,Another Color,Full,5.3,Gas,Automatic,Used,382000,Riyadh,45000,FALSE
Hyundai,Senta fe,2021,Saudi,Navy,Semi Full,,Gas,Automatic,Used,2200,Riyadh,Negotiable,TRUE
Lexus,GX,2015,Saudi,White,Full,4.6,Gas,Automatic,Used,146000,Riyadh,126000,FALSE
Nissan,Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,Used,87537,Riyadh,26800,FALSE
Nissan,Sunny,2019,Saudi,White,Standard,1.5,Gas,Automatic,Used,99104,Riyadh,26800,FALSE
Nissan,Sunny,2019,Saudi,Grey,Standard,1.5,Gas,Automatic,Used,106007,Riyadh,26800,FALSE
Nissan,Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,Used,88564,Riyadh,26800,FALSE
Hyundai,Azera,2016,Saudi,Grey,Semi Full,3.5,Gas,Automatic,Used,166000,Riyadh,47000,FALSE
Honda,Accord,2015,Saudi,Golden,Semi Full,2.4,Gas,Automatic,Used,196000,Riyadh,59000,FALSE
Genesis,G80,2018,Saudi,Silver,Semi Full,3.8,Gas,Automatic,Used,70000,Riyadh,110000,FALSE
Chevrolet,Tahoe,2014,Saudi,Brown,Semi Full,5.3,Gas,Automatic,Used,382000,Riyadh,60000,FALSE
Cadillac,CT-S,2010,Saudi,Another Color,Full,3.6,Gas,Automatic,Used,240000,Riyadh,32000,FALSE
Toyota,Prado,2013,Saudi,Another Color,Full,3.8,Gas,Automatic,Used,108000,Riyadh,87000,FALSE
Geely,EC7,2014,Saudi,Golden,Full,,Gas,Manual,Used,161300,Riyadh,12000,FALSE
MG,ZS,2019,Saudi,Black,Semi Full,1.5,Gas,Automatic,Used,23000,Riyadh,47000,FALSE
Lexus,ES,2019,Saudi,Another Color,Full,,Gas,Automatic,Used,26000,Jeddah,207000,FALSE
Hyundai,Kona,2019,Saudi,Blue,Standard,2,Gas,Automatic,Used,19000,Riyadh,59000,FALSE
Jeep,Grand Cherokee,2014,Saudi,Black,Full,5.7,Gas,Automatic,Used,120000,Riyadh,85000,FALSE
GMC,Yukon,2016,Gulf Arabic,White,Semi Full,,Gas,Automatic,Used,63000,Riyadh,140000,FALSE
Kia,Optima,2018,Saudi,Brown,Standard,2,Gas,Automatic,Used,11000,Riyadh,Negotiable,TRUE
